step,from_acc,to_acc,move_acc,lr
5000,0.5486023361753464,0.44949813848021414,0.3562212089079009,0.00043673202685542766
10000,0.601150100884062,0.5081200192962876,0.43831246288813647,0.000625
15000,0.6230841999980433,0.5327777246787025,0.47068943588462264,0.0005103103630798287
20000,0.6325441974543049,0.5441109069932486,0.4872967361127313,0.0004419417382415922
25000,0.6374367546112784,0.5493278284225886,0.49513566479247834,0.0003952847075210474
30000,0.6391722163562378,0.5526369460689835,0.5016989613570016,0.0003608439182435161
35000,0.6419515139382564,0.5552476645396097,0.5035157023163823,0.0003340765523905305
40000,0.6428659051004965,0.5560807764874285,0.5050419453427386,0.0003125
45000,0.6430608246980439,0.5565782353830998,0.5071130601398454,0.0002946278254943948
50000,0.6423970444469363,0.5561199109240017,0.5071235963343075,0.00027950849718747374
55000,0.64234210571867,0.5562388194043588,0.5081192667109689,0.00026650089544451305
60000,0.6411944131076279,0.5544800275145193,0.5065666831984575,0.00025515518153991436
65000,0.6404079614495697,0.5542565096748606,0.5073508771005597,0.00024514516892273
70000,0.641894317454034,0.5556766381712779,0.5081433494411678,0.000236227795630767
75000,0.641239568226751,0.5551754163490129,0.5088304598371556,0.0002282177322938192
80000,0.639709562273801,0.5535114502093316,0.50645379540065,0.0002209708691207961
85000,0.639333269614443,0.5528995983452154,0.5064530428153313,0.00021437323142813606
90000,0.6377355309828087,0.551031681584162,0.5051367710928969,0.00020833333333333335
95000,0.6371056170710433,0.5505297071765783,0.5054114647342283,0.00020277677641345317
100000,0.6372614022320175,0.5503408082615806,0.5053188967400262,0.0001976423537605237
105000,0.6373773003710999,0.5512567045944581,0.50545737243867,0.0001928791874526149
