step,from_acc,to_acc,move_acc,lr,elapsed_hours
5000,0.5498478648778216,0.4420053990470765,0.3617895876810814,0.0003088161777508,4.781193207369911
10000,0.5986168987012636,0.5053753406389299,0.4374515052835252,0.0004419417382415,9.614200209842789
15000,0.6219673633850685,0.5326821463432255,0.4711996887307121,0.0003608439182435,14.362497459981176
20000,0.633315597405989,0.5464341378721252,0.4871191259775143,0.0003125,19.10307039572133
25000,0.6398864198236993,0.5538425877495667,0.4976914445348383,0.0002795084971874,23.8739253171285
30000,0.6441994862852615,0.5593537700385248,0.5053399691289502,0.0002551551815399,28.642931974662677
35000,0.6487435964396694,0.5651012641175599,0.5121847326026734,0.0002362277956307,33.324745649033126
40000,0.6509012585484285,0.5672182866191083,0.5150543404229379,0.0002209708691207,37.85937511093087
45000,0.6533433979076623,0.5702007822371803,0.5177975139096581,0.0002083333333333,42.387297762831054
50000,0.6545136680782658,0.571815830331145,0.5195134084363309,0.00019764235376052374,47.175767253372406
55000,0.6555687926951058,0.5729484712358128,0.5213617579790977,0.00018844459036110228,52.06000522348616
